WELL ID,WELL NAME,LICENCE,CONTRACTOR BA ID,CONTRACTOR NAME,RIG NUMBER,ACTIVITY DATE,FIELD CENTRE,BA ID,LICENSEE,NEW PROJECTED TOTAL DEPTH,ACTIVITY TYPE,DATE,ATS,ConvDF,Lat,Long,WEEK,MONTH,YEAR
AC/08-31-093-09W4/0,SYNCRUDE 024N01 8-31-93-9,497074,A1YG,Big Country Drilling Ltd.,10,08 Jan 2021 09:00:00 AM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-01-08,31093094,31093094,57.11166693,-111.4277042,1,1,2021.0
AA/06-32-093-09W4/0,SYNCRUDE 027N01 6-32-93-9,497077,A1YG,Big Country Drilling Ltd.,6,08 Jan 2021 12:00:00 PM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-01-08,32093094,32093094,57.11167481,-111.4008908,1,1,2021.0
AA/14-32-093-09W4/0,SYNCRUDE 29ROVCH194022L01 1-1-94-10,493119,A1YG,Big Country Drilling Ltd.,6,07 Jan 2021 03:00:00 PM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-01-08,32093094,32093094,57.11167481,-111.4008908,1,1,2021.0
AC/07-25-093-10W4/0,SYNCRUDE 051N01 7-25-93-10,497137,0Y80,Boart Longyear Canada,47,08 Jan 2021 05:30:00 AM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-01-08,25093104,25093104,57.0972359,-111.4545294,1,1,2021.0
AA/05-01-094-10W4/0,SYNCRUDE 001N01 5-1-94-10,497052,A1YG,Big Country Drilling Ltd.,6,06 Jan 2021 08:00:00 PM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-01-08,1094104,1094104,57.12632758,-111.4544984,1,1,2021.0
02/02-15-095-06W4/0,SUNCOR P131P3 FIREBAG 2-15-95-6,497855,A6PR,Nabors Drilling Canada Limited,102,08 Jan 2021 04:30:00 PM,Bonnyville,0054,Suncor Energy Inc.,,Resumption,2021-01-08,15095064,15095064,57.24275071,-110.8735294,1,1,2021.0
00/02-18-016-13W4/0,TXNE 1A-20 HZ BANTRY 2-18-16-13,498919,A1TW,Bonanza Drilling Inc.,8,13 Jan 2021 06:00:00 PM,Medicine Hat,A7NW,Torxen Energy Ltd.,,Drill To LD,2021-01-14,18016134,18016134,50.34666352,-111.7689795,2,1,2021.0
02/07-16-035-03W4/0,RHE 102 PROVOST 7-16-35-3,499210,A57H,Predator Drilling Inc.,27,13 Jan 2021 02:30:00 PM,Wainwright,A6W2,Rolling Hills Energy Ltd.,,Set Surface,2021-01-14,16035034,16035034,52.00475302,-110.3622087,2,1,2021.0
03/16-12-035-08W4/0,TAC 4-12 HZ 103 PROVOST 16-12-35-8,498913,0GE9,Tempco Drilling Company Inc.,5,14 Jan 2021 07:30:00 AM,Wainwright,A5TT,Tamarack Acquisition Corp.,,Drill To LD,2021-01-14,12035084,12035084,51.99047369,-111.0050742,2,1,2021.0
04/14-14-046-07W5/0,BONTERRA 104 HZ PEMBINA 14-14-46-7,499135,A2EN,Ironhand Drilling Inc.,1,14 Jan 2021 03:00:00 PM,Drayton Valley,0XZ4,Bonterra Energy Corp.,,Drill To LD,2021-01-14,14046075,14046075,52.96770027,-114.8958734,2,1,2021.0
