WELL ID,WELL NAME,LICENCE,CONTRACTOR BA ID,CONTRACTOR NAME,RIG NUMBER,ACTIVITY DATE,FIELD CENTRE,BA ID,LICENSEE,NEW PROJECTED TOTAL DEPTH,ACTIVITY TYPE,DATE,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long,ï»¿WELL ID
00/04-17-050-19W5/0,TOURMALINE HZ ANSELL 4-17-50-19,498368,A6PR,Nabors Drilling Canada Limited,58,30 Sep 2020 05:30:00 PM,Drayton Valley,A573,Tourmaline Oil Corp.,,Set Surface,2020-10-01,17050195,40,10,2020.0,17050195,53.31607055,-116.7319117,
00/02-22-051-16W5/0,TOURMALINE HZ EDSON 2-22-51-16,498296,A6PR,Nabors Drilling Canada Limited,16,01 Oct 2020 01:45:00 PM,Drayton Valley,A573,Tourmaline Oil Corp.,,Set Surface,2020-10-01,22051165,40,10,2020.0,22051165,53.41752334,-116.2619079,
02/11-02-051-19W5/0,HUSKY HZ ANSELL 11-2-51-19,491792,A0KC,Horizon Drilling Inc.,4,01 Oct 2020 10:10:00 AM,Drayton Valley,0R46,Husky Oil Operations Limited,,Drill To LD,2020-10-01,2051195,40,10,2020.0,2051195,53.37390138,-116.6794337,
02/15-14-057-18W4/0,SPL 15-11 HZ 102 UKALTA 15-14-57-18,498309,0Y52,Precision Drilling Corporation,147,01 Oct 2020 06:06:00 AM,St. Albert,A7GR,Spur Petroleum Ltd.,,Resumption,2020-10-01,14057184,40,10,2020.0,14057184,53.92709832,-112.5545622,
00/04-14-071-08W6/0,PIPE 100 HZ ELM 4-14-71-8,497191,0Y52,Precision Drilling Corporation,524,01 Oct 2020 11:04:00 AM,Grande Prairie,A82B,Pipestone Energy Corp.,,Drill To LD,2020-10-01,14071086,40,10,2020.0,14071086,55.1488687,-119.1026338,
02/03-11-074-25W4/0,DELTASTREAM MARTENH 3-11-74-25,498321,A2CL,Komat Drilling Ltd.,3,01 Oct 2020 09:00:00 AM,St. Albert,A6YA,Deltastream Energy Corporation,,Set Surface,2020-10-01,11074254,40,10,2020.0,11074254,55.39539720000001,-113.7246573,
00/05-30-050-22W5/0,TOURMALINE HZ LAMBERT 5-30-50-22,497489,A6PR,Nabors Drilling Canada Limited,34,20 Aug 2020 04:30:00 PM,Drayton Valley,A573,Tourmaline Oil Corp.,,Drill To LD,2020-08-20,30050225,34,8,2020.0,30050225,53.34516074,-117.194844,
13/05-10-066-04W4/0,IMP H92-H06 LEMING 5-10-66-4,498222,0Y55,Akita Drilling Ltd.,21,19 Aug 2020 11:45:00 PM,Bonnyville,0007,Imperial Oil Resources Limited,,Set Surface,2020-08-20,10066044,34,8,2020.0,10066044,54.69702879,-110.5102354,
07/04-35-094-06W4/0,SUNCOR P122P2 FIREBAG 4-35-94-6,496410,0X84,Nabors Drilling Limited,102,20 Aug 2020 03:30:00 AM,Bonnyville,0054,Suncor Energy Inc.,,Set Surface,2020-08-20,35094064,34,8,2020.0,35094064,57.19888529,-110.8375639,
08/04-35-094-06W4/0,SUNCOR P122P3 FIREBAG 4-35-94-6,496411,A6PR,Nabors Drilling Canada Limited,102,20 Aug 2020 12:15:00 PM,Bonnyville,0054,Suncor Energy Inc.,,Set Surface,2020-08-20,35094064,34,8,2020.0,35094064,57.19888529,-110.8375639,
